query_id,query,expected_doc_ids,retrieved_doc_ids,hit_at_1,hit_at_k,failure_mode,method
q-001,What does AX4-E117 mean?,product_atlas_gateway,product_atlas_gateway|pricing_gateway|spec_storage,1,1,keyword_exact_match,dense_only
q-011,"During a rollback, what must be preserved before the prior artifact is restored?",operations_release_rollback,operations_release_rollback|policy_change_control|operations_certificate_rotation,1,1,long_context,relative_score_dense_bm25
q-012,What do support engineers mean by collecting the case fingerprint?,operations_support_triage,operations_support_triage|product_atlas_gateway|policy_data_retention,1,1,semantic_paraphrase,dense_only
q-012,What do support engineers mean by collecting the case fingerprint?,operations_support_triage,operations_support_triage|product_nimbus_sensor|operations_release_rollback,1,1,semantic_paraphrase,bm25_only
q-012,What do support engineers mean by collecting the case fingerprint?,operations_support_triage,operations_support_triage|operations_release_rollback|policy_data_retention,1,1,semantic_paraphrase,rrf_dense_bm25
q-012,What do support engineers mean by collecting the case fingerprint?,operations_support_triage,operations_support_triage|operations_release_rollback|product_nimbus_sensor,1,1,semantic_paraphrase,relative_score_dense_bm25
q-013,Which Atlas module has a seven business day replacement lead time?,pricing_gateway,pricing_gateway|product_orion_switch|product_atlas_gateway,1,1,table_lookup,dense_only
q-013,Which Atlas module has a seven business day replacement lead time?,pricing_gateway,pricing_gateway|policy_change_control|product_atlas_gateway,1,1,table_lookup,bm25_only
q-013,Which Atlas module has a seven business day replacement lead time?,pricing_gateway,pricing_gateway|policy_change_control|product_atlas_gateway,1,1,table_lookup,rrf_dense_bm25
q-013,Which Atlas module has a seven business day replacement lead time?,pricing_gateway,pricing_gateway|product_atlas_gateway|policy_change_control,1,1,table_lookup,relative_score_dense_bm25
q-014,What is the included response target for the Priority support plan?,pricing_support,pricing_support|operations_support_triage|policy_incident_severity,1,1,table_lookup,dense_only
q-014,What is the included response target for the Priority support plan?,pricing_support,pricing_support|operations_release_rollback|spec_storage,1,1,table_lookup,bm25_only
q-014,What is the included response target for the Priority support plan?,pricing_support,pricing_support|operations_support_triage|spec_storage,1,1,table_lookup,rrf_dense_bm25
q-014,What is the included response target for the Priority support plan?,pricing_support,pricing_support|operations_support_triage|spec_storage,1,1,table_lookup,relative_score_dense_bm25
q-015,What optical reference drift percentage triggers the Nimbus calibration threshold?,spec_sensor,product_nimbus_sensor|spec_sensor|product_orion_switch,0,1,table_lookup,dense_only
q-015,What optical reference drift percentage triggers the Nimbus calibration threshold?,spec_sensor,spec_sensor|product_nimbus_sensor|operations_release_rollback,1,1,table_lookup,bm25_only
q-015,What optical reference drift percentage triggers the Nimbus calibration threshold?,spec_sensor,product_nimbus_sensor|spec_sensor|product_orion_switch,0,1,table_lookup,rrf_dense_bm25
q-015,What optical reference drift percentage triggers the Nimbus calibration threshold?,spec_sensor,product_nimbus_sensor|spec_sensor|product_orion_switch,0,1,table_lookup,relative_score_dense_bm25
q-016,What is the minimum retention period for Vault-B storage?,spec_storage,spec_storage|policy_data_retention|spec_sensor,1,1,table_lookup,dense_only
q-016,What is the minimum retention period for Vault-B storage?,spec_storage,spec_storage|policy_data_retention|operations_release_rollback,1,1,table_lookup,bm25_only
q-016,What is the minimum retention period for Vault-B storage?,spec_storage,spec_storage|policy_data_retention|product_orion_switch,1,1,table_lookup,rrf_dense_bm25
q-016,What is the minimum retention period for Vault-B storage?,spec_storage,spec_storage|policy_data_retention|spec_sensor,1,1,table_lookup,relative_score_dense_bm25
